,Material,Dry_or_cond,Manufacturer,Polymer,Fiber_percentage,Fiber_type,Charpy_notched_+23C,Charpy_notched_-30C,Charpy_+23C,Tensile_modulus,Molding_shrinkage_normal,Molding_shrinkage_parallel,Coeff_linear_therm_expansion_normal,Coeff_linear_therm_expansion_parallel,Melting_temp,Temp_deflection_0.45MPa,Temp_deflection_1.80MPa,Vicat_softening_temp,Density,Humidity_absorption,Temperature,G_prima,G_2prima,MPa,CM_1.0,CM_10.0,CM_100.0,CM_1000.0,CM_10000.0,CM_100000.0
0,Akulon® F-X9190,cond,DSM Engineering Materials,PA6,0.0,None,,35.0,,1000.0,1.1,1.1,100.0,90.0,220.0,150.0,60.0,,1130.0,2.8,23.0,,,2.0,869.565,769.2310000000001,645.161,540.5409999999999,434.783,
1,Akulon® F-X9190,cond,DSM Engineering Materials,PA6,0.0,None,,35.0,,1000.0,1.1,1.1,100.0,90.0,220.0,150.0,60.0,,1130.0,2.8,23.0,,,4.0,784.314,701.7539999999999,597.015,512.82,430.108,
2,Akulon® F-X9190,cond,DSM Engineering Materials,PA6,0.0,None,,35.0,,1000.0,1.1,1.1,100.0,90.0,220.0,150.0,60.0,,1130.0,2.8,23.0,,,6.0,705.882,618.557,535.714,461.538,392.157,
3,Akulon® F-X9190,cond,DSM Engineering Materials,PA6,0.0,None,,35.0,,1000.0,1.1,1.1,100.0,90.0,220.0,150.0,60.0,,1130.0,2.8,23.0,,,8.0,655.738,571.429,484.848,418.848,353.982,
4,Akulon® F-X9190,cond,DSM Engineering Materials,PA6,0.0,None,,35.0,,1000.0,1.1,1.1,100.0,90.0,220.0,150.0,60.0,,1130.0,2.8,23.0,,,10.0,603.266,511.524,429.765,369.232,312.232,
5,Akulon® F-X9190,cond,DSM Engineering Materials,PA6,0.0,None,,35.0,,1000.0,1.1,1.1,100.0,90.0,220.0,150.0,60.0,,1130.0,2.8,23.0,,,11.0,564.1030000000001,478.261,402.93,347.003,292.553,
6,Akulon® F-X9190,dry,DSM Engineering Materials,PA6,0.0,None,8.0,5.0,,3200.0,1.1,1.1,100.0,90.0,220.0,150.0,60.0,,1130.0,2.8,23.0,1184.7988774555658,,10.0,2941.18,2631.58,2380.95,1886.79,1538.46,
7,Akulon® F-X9190,dry,DSM Engineering Materials,PA6,0.0,None,8.0,5.0,,3200.0,1.1,1.1,100.0,90.0,220.0,150.0,60.0,,1130.0,2.8,23.0,1184.7988774555658,,20.0,2898.55,2666.67,2325.58,1869.16,1470.59,
8,Akulon® F-X9190,dry,DSM Engineering Materials,PA6,0.0,None,8.0,5.0,,3200.0,1.1,1.1,100.0,90.0,220.0,150.0,60.0,,1130.0,2.8,23.0,1184.7988774555658,,30.0,2777.78,2500.0,2068.97,1621.62,1287.55,
9,Akulon® F-X9190,dry,DSM Engineering Materials,PA6,0.0,None,8.0,5.0,,3200.0,1.1,1.1,100.0,90.0,220.0,150.0,60.0,,1130.0,2.8,23.0,1184.7988774555658,,40.0,2547.77,2197.8,1785.71,1384.08,,
