,Material,Dry_or_cond,Manufacturer,Polymer,Fiber_percentage,Fiber_type,Charpy_notched_+23C,Charpy_notched_-30C,Charpy_+23C,Tensile_modulus,Molding_shrinkage_normal,Molding_shrinkage_parallel,Coeff_linear_therm_expansion_normal,Coeff_linear_therm_expansion_parallel,Melting_temp,Temp_deflection_0.45MPa,Temp_deflection_1.80MPa,Vicat_softening_temp,Density,Humidity_absorption,Temperature,G_prima,G_2prima,MPa,CM_1.0,CM_10.0,CM_100.0,CM_1000.0,CM_10000.0,CM_100000.0
0,RADILON A RV350W 333 BK,,,,,,,,,,,,,,,,,,1400,,23,,,20,7319.255129011023,7085.93549098871,6808.139349302205,6482.721962260146,,
1,RADILON A RV350W 333 BK,,,,,,,,,,,,,,,,,,1400,,23,,,40,6253.276231804965,5849.64340705531,5403.221973206503,4922.23599048054,,
2,RADILON A RV350W 333 BK,,,,,,,,,,,,,,,,,,1400,,23,,,50,5777.532021977091,5324.418286892452,4838.677158655091,4332.580265910001,,
3,RADILON A RV350W 333 BK,,,,,,,,,,,,,,,,,,1400,,23,,,60,5345.99711820387,4861.30204448873,4355.801810007574,3843.995153553062,,
4,RADILON A RV350W 333 BK,,,,,,,,,,,,,,,,,,1400,,23,,,80,4607.392396203226,4096.551823548069,3587.424590916888,3094.918668052698,,
5,RADILON A RV350W 333 BK,,,,,,,,,,,,,,,,,,1400,,23,,,100,4010.567626865483,3502.992830529568,3014.630982658706,2558.007148408745,,
6,RADILON A RV350W 333 BK,,,,,,,,,,,,,,,,,,1400,,80,,,10,5943.91965424163,5774.541040395149,5573.374699444354,5337.754670471163,,
7,RADILON A RV350W 333 BK,,,,,,,,,,,,,,,,,,1400,,80,,,20,5429.752297369417,5171.588841999024,4877.828793553228,4550.317560932531,,
8,RADILON A RV350W 333 BK,,,,,,,,,,,,,,,,,,1400,,80,,,30,5018.339890955932,4705.901938470015,4361.92205735211,3992.166611872005,,
9,RADILON A RV350W 333 BK,,,,,,,,,,,,,,,,,,1400,,80,,,40,4676.149437052315,4329.389892323222,3957.658068294304,3569.324584660866,,
10,RADILON A RV350W 333 BK,,,,,,,,,,,,,,,,,,1400,,80,,,50,4384.795564752197,4016.262059216606,3629.836276073405,3235.39114687633,,
11,RADILON A RV350W 333 BK,,,,,,,,,,,,,,,,,,1400,,80,,,60,4132.563960194257,3750.535045192471,3357.408582979675,2963.768688009953,,
12,RADILON A RV350W 333 BK,,,,,,,,,,,,,,,,,,1400,,120,,,10,4652.062101135597,4529.2403546941,4379.197384998556,4198.625366290467,,
13,RADILON A RV350W 333 BK,,,,,,,,,,,,,,,,,,1400,,120,,,20,4134.968086039317,3910.950493568219,3654.043988878691,3366.914428757577,,
14,RADILON A RV350W 333 BK,,,,,,,,,,,,,,,,,,1400,,120,,,30,3670.605894989766,3385.025523712241,3074.591454630573,2747.480496623395,,
15,RADILON A RV350W 333 BK,,,,,,,,,,,,,,,,,,1400,,120,,,40,3270.952631282378,2952.982701418702,2622.182289539935,2289.25301898728,,
16,RADILON A RV350W 333 BK,,,,,,,,,,,,,,,,,,1400,,120,,,50,2931.135304555763,2599.678690759248,2266.994171787613,1944.020702787425,,
17,RADILON A RV350W 333 BK,,,,,,,,,,,,,,,,,,1400,,120,,,60,2642.515335095544,2309.216319435881,1984.40047703372,1677.983206297227,,
18,RADILON S URV600W 339 BK,,,,,,,,,,,,,,,,,,1690,,23,,,20,12393.64989108514,12005.03398445767,11543.58236818227,11004.13803262907,,
19,RADILON S URV600W 339 BK,,,,,,,,,,,,,,,,,,1690,,23,,,40,10579.9375956772,9906.671076809746,9163.277243082595,8362.93159929384,,
20,RADILON S URV600W 339 BK,,,,,,,,,,,,,,,,,,1690,,23,,,60,9035.980977192206,8227.561764817614,7385.218891101705,6532.293098409038,,
21,RADILON S URV600W 339 BK,,,,,,,,,,,,,,,,,,1690,,23,,,80,7779.911671290857,6928.380103575256,6079.994159843172,5258.750295242141,,
22,RADILON S URV600W 339 BK,,,,,,,,,,,,,,,,,,1690,,23,,,100,6765.902876238251,5920.448613207176,5106.896089978946,4345.368828401721,,
23,RADILON S URV600W 339 BK,,,,,,,,,,,,,,,,,,1690,,23,,,120,5943.365028059525,5128.264457877629,4365.071476243751,3668.749847172596,,
24,RADILON S URV600W 339 BK,,,,,,,,,,,,,,,,,,1690,,80,,,20,10207.86750883756,9779.64347764467,9275.477581266998,8694.501622832368,,
25,RADILON S URV600W 339 BK,,,,,,,,,,,,,,,,,,1690,,80,,,40,8174.598120202742,7471.484870882549,6722.317171717024,5949.123748221579,,
26,RADILON S URV600W 339 BK,,,,,,,,,,,,,,,,,,1690,,80,,,50,7306.728633893837,6549.688833916236,5774.494042920969,5006.454658266163,,
27,RADILON S URV600W 339 BK,,,,,,,,,,,,,,,,,,1690,,80,,,60,6549.477794593214,5773.901999899654,5005.840870846528,4269.662648475908,,
28,RADILON S URV600W 339 BK,,,,,,,,,,,,,,,,,,1690,,80,,,70,5893.742621970271,5122.533074585554,4379.940480155907,3687.126145893209,,
29,RADILON S URV600W 339 BK,,,,,,,,,,,,,,,,,,1690,,80,,,80,5326.987788545885,4574.17738244577,3866.241308175141,3220.241350883216,,
30,RADILON S URV600W 339 BK,,,,,,,,,,,,,,,,,,1690,,120,,,10,9960.910121894853,9878.656432024069,9781.243330362064,9666.239136460194,,
31,RADILON S URV600W 339 BK,,,,,,,,,,,,,,,,,,1690,,120,,,20,8636.042091035433,8346.3276241835,8021.769452262558,7662.275541453223,,
32,RADILON S URV600W 339 BK,,,,,,,,,,,,,,,,,,1690,,120,,,30,6893.008755407452,6445.529654048699,5977.52290431797,5496.040843943672,,
33,RADILON S URV600W 339 BK,,,,,,,,,,,,,,,,,,1690,,120,,,40,5267.321726486576,4780.647763274023,4301.335514860758,3837.163704496641,,
34,RADILON S URV600W 339 BK,,,,,,,,,,,,,,,,,,1690,,120,,,50,3978.304674779025,3528.517300231461,3105.11445321336,2712.419726050116,,
35,RADILON S URV600W 339 BK,,,,,,,,,,,,,,,,,,1690,,120,,,60,3024.404190405142,2638.015809447967,2285.813667400371,1968.690042756112,,
36,RADILON S RV350W 333 BK,,,,,,,,,,,,,,,,,,1400,,23,,,20,6818.141637839896,6657.913687017004,6464.859523315856,6235.037383298181,,
37,RADILON S RV350W 333 BK,,,,,,,,,,,,,,,,,,1400,,23,,,40,5756.518516273956,5417.496278724158,5040.295888837452,4630.460474742102,,
38,RADILON S RV350W 333 BK,,,,,,,,,,,,,,,,,,1400,,23,,,50,5230.258817877122,4835.352316229773,4412.042258117589,3970.21154411763,,
39,RADILON S RV350W 333 BK,,,,,,,,,,,,,,,,,,1400,,23,,,60,4739.23536008471,4310.41804783733,3865.924719505889,3417.886300330116,,
